idUSER,Id,Password,Name,Gender,Address,Birth,PhoneNumber,FK_TypeName,UserScore
1,manager,manager0000,관리자,M,,0,010-9315-0025,관리자,29
2,hwayoung,hwayoung12345,이화영,W,서울특별시 성북구 안암동,19820516,010-7655-0068,제출자,0
3,yeonsoo,yeonsoo09876,노연수,W,충청남도 서천군 종천면,19670401,010-3376-0075,평가자,42
4,coldbrew,00coffee00,나커피,W,경상남도 창원시 진해구 웅천동,19631111,010-4022-0042,평가자,46
5,aeney120,hwa424212345,화사이,W,충청북도 보은군 속리산면,19660801,010-2309-0053,평가자,75
6,soo9494,soo949412345,수구사,W,인천광역시 동구 송림3·5동,19571211,010-8103-0056,평가자,42
7,1004record,cold100412345,콜드천사,W,강원도 강릉시 교2동,19830101,010-8925-0087,제출자,0
8,21csjqueen,0207bymin0207,John,W,충청북도 충주시 주덕읍,19831201,010-4721-0021,제출자,0
9,123inja,0509ay1200509,William,W,경상남도 합천군 합천읍,19730806,010-3443-0043,평가자,0
10,2002yeo,063puman063p,James,W,경기도 수원시 팔달구 지동,19700105,010-0690-0056,평가자,22
11,7412dnjs,1004recordueen1004,George,W,전라북도 김제시 금구면,19600328,010-9958-0031,평가자,0
12,74impbang,1009chueen1009,Charles,W,경상북도 예천군 감천면,19680310,010-7026-0008,평가자,85
13,77jeongsuk,1029bongud601029,Frank,W,경기도 이천시 창전동,19530815,010-7026-0019,평가자,70
14,agape4530,10yhlovetaeg10yh,Joseph,W,광주광역시 동구 계림1동,19640310,010-1690-0019,제출자,46
15,aajungych,2057yyysins2057,Henry,W,전라남도 고흥군 도양읍,19730203,010-1563-0059,제출자,0
16,key6747,21csjqueensgh921cs,Robert,W,경상북도 울진군 평해읍,19690511,010-4523-0044,평가자,0
17,kmj829,21sjqueensg4221sj,Thomas,W,서울특별시 광진구 구의3동,19370317,010-0319-0062,제출자,71
18,kongtaeg,1105soosdl61105,Edward,W,경상남도 밀양시 단장면,19740201,010-9158-0099,평가자,85
19,lovepooh13,123injasch1123i,Harry,W,전라북도 전주시덕진구 팔복동,19850821,010-2717-0075,평가자,31
20,nooo0416,1318khjs1231318,Walter,W,대구광역시 달서구 용산2동,19570501,010-7316-0047,평가자,75
21,peh0202,160625earanrud61606,Arthur,W,강원도 고성군 수동면,19751201,010-8406-0077,제출자,0
22,person1974,1988sg42rtop1988,Fred,W,전라남도 나주시 문평면,19540301,010-2631-0028,제출자,42
23,jwyoon97,2002yeorkms2002,Albert,W,서울특별시 성동구 금호4가동,19691006,010-3541-0015,평가자,0
24,sinsun1020,2019jhjrdal2019,Samuel,W,경상남도 함안군 가야읍,19510701,010-7955-0068,평가자,85
25,dajung,300humanpers300h,Clarence,W,충청남도 당진시 당진1동,19860801,010-7049-0093,제출자,0
26,bangke,32go6096peiz32go,Louis,W,대전광역시 중구 유천1동,19540902,010-0737-0087,평가자,75
27,bongke,37powerdalpeh037po,David,M,,19670205,010-7298-0045,제출자,25
28,arankh,510kjmov30510k,Joe,W,전라북도 고창군 신림면,19670401,010-6899-0062,제출자,41
29,ajmmkmj,6327048kilosk06327,Charlie,W,제주특별자치도 제주시 조천읍,19670126,010-8863-0089,평가자,0
30,ajd9kon,6k5tyiorkm6k5t,Richard,W,광주광역시 광산구 우산동,19620917,010-4948-0045,제출자,87
31,aje0kon,6k5ubfon976k5u,Ernest,M,서울특별시 강남구 도곡2동,19470801,010-2028-0036,평가자,0
32,aj22love,6k5uelon126k5u,Roy,W,서울특별시 중랑구 면목본동,19600502,010-0371-0011,제출자,63
33,aierlovep,7412dnjsoh137412,Will,W,강원도 영월군 상동읍,19630801,010-8255-0002,제출자,75
34,aid3lp,74impbangnsik74im,Andrew,W,서울특별시 광진구 능동,19580901,010-3229-0065,제출자,0
35,ahtsno,7610kshnotc7610,Jesse,W,경기도 성남시 분당구 수내1동,19690224,010-5927-0053,평가자,42
36,af02perso,777annnooo777a,Oscar,W,울산광역시 울주군 삼동면,19650804,010-7860-0002,평가자,0
37,ueen1004r,77jeongsukmoom77je,Willie,W,충청남도 금산군 부리면,19580101,010-9071-0005,평가자,71
38,ud60102,a3046mehia304,Daniel,W,부산광역시 부산진구 가야2동,19640601,010-0245-0011,평가자,87
39,taeg10y,a980509ma86a980,Benjamin,W,전라북도 김제시 용지면,19620901,010-6097-0089,평가자,33
40,sdl611,8612ljhlpea8612,Carl,W,경기도 안양시 동안구 관양2동,19650124,010-7085-0092,제출자,56
41,sch112,88hanlove88ha,Sam,W,서울특별시 동대문구 청량리동,19720601,010-2236-0012,제출자,0
42,s12313,93himehilove93hi,Alfred,W,서울특별시 은평구 증산동,19611101,010-1746-0057,제출자,47
43,rud6160625,a006162lovea006,Earl,M,전라남도 곡성군 석곡면,19701214,010-2335-0087,제출자,74
44,rtop198,a1757konga175,Peter,W,경기도 안양시 만안구 안양1동,19720301,010-3511-0074,제출자,41
45,pers20,a22740konga227,Elmer,M,경상남도 창원시마산합포구 현동,19681104,010-1511-0045,제출자,84
